Evidence ID,Recorded UTC,Exact Object ID,Drive ID,Artifact ID,Evidence Role,Primary Evidence,Summary Only,Derives From,Code Fixture ID,Computational Fixture ID,Methodological Family,Review ID,Evidence Class,Source URL,Status
EV-QM-VERIFIER,2026-07-21T16:30:00Z,LAW_SPECIFIC_Q_SUCCESSOR_MACHINE,1JNLSSdqM8wr34-cP1wxYGJQ0n-gloRiDIydr5JVob-c,GP-DATA-022-v1.0,INSTRUMENT_SOURCE,TRUE,FALSE,EV-QM-SNAPSHOT,GP-DATA-022-v1.0,Eight local negative-test mutations,Prototype verifier implementation,REV-QM-AO48-001,PROTOTYPE VERIFIER SOURCE,https://docs.google.com/document/d/1JNLSSdqM8wr34-cP1wxYGJQ0n-gloRiDIydr5JVob-c/edit,REPAIR-REQUIRED
EV-QM-RECEIPT,2026-07-21T16:30:00Z,LAW_SPECIFIC_Q_SUCCESSOR_MACHINE,15tq5jzd19qiVP_sh3N43W_kT2CI8F3y2VLkZKcJGs9A,GP-AUD-023-v1.0,AUTHOR_VALIDATION_RECEIPT,FALSE,FALSE,EV-QM-SNAPSHOT; EV-QM-VERIFIER,GP-DATA-022-v1.0,Same eight local mutations,Author-side prototype validation,REV-CAI-SELF-001,SELF-VALIDATION RECEIPT,https://docs.google.com/document/d/15tq5jzd19qiVP_sh3N43W_kT2CI8F3y2VLkZKcJGs9A/edit,SUPERSEDED-IN-PART-BY-AUDIT
EV-QM-AUDIT,2026-07-21T16:30:00Z,LAW_SPECIFIC_Q_SUCCESSOR_MACHINE,1CGdDo0UJcTFm5mk2FSb4E5ZCBZwIdzUS,AO48-AUD-008-v1.0,INDEPENDENT_REVIEW,TRUE,FALSE,EV-QM-SNAPSHOT; EV-QM-VERIFIER,None,Hand trace only,Dependency-reachability and verifier-gap audit,REV-QM-AO48-001,INDEPENDENT HAND-TRACE AUDIT,https://drive.google.com/file/d/1CGdDo0UJcTFm5mk2FSb4E5ZCBZwIdzUS/view,FAILURES-CONFIRMED-BY-HAND-TRACE
EV-P12-ERRATUM,2026-07-21T16:30:00Z,CONTINUUM_SHORT_BAR_DIAGNOSTIC_P1.2,1Y1MyF82Xxn3vi7KaAdiZEode-qc0xhmFljYmRmGJ3TQ,CL-ERR-025-v1.0,PRIMARY_CORRECTION,TRUE,FALSE,CL-DATA-017; CL-DATA-019; prior exponent reports,CL-DATA-024 claimed,Frozen fields/seeds,Connectivity root-cause diagnosis and replacement claim,REV-P12-GP-001,ERRATUM / REPORTED REPLACEMENT,https://docs.google.com/document/d/1Y1MyF82Xxn3vi7KaAdiZEode-qc0xhmFljYmRmGJ3TQ/edit,PARTIAL-PASS
EV-P12-GP-AUDIT,2026-07-21T16:30:00Z,CONTINUUM_SHORT_BAR_DIAGNOSTIC_P1.2,1DP5E_u2eQzW3624W0XPuNU2zBzV-Za7h2iRzWC3BSXo,GP-AUD-031-v1.0,INDEPENDENT_RECONSTRUCTION,TRUE,FALSE,EV-P12-ERRATUM; CL-DATA-019,Independent census implementation,Same frozen fields/seeds,"Exact trigonometric evaluator, four/eight-neighbor census, Newton maxima, correlation audit",REV-P12-GP-001,INDEPENDENT ROOT-CAUSE REEXECUTION,https://docs.google.com/document/d/1DP5E_u2eQzW3624W0XPuNU2zBzV-Za7h2iRzWC3BSXo/edit,PASS-ROOT-CAUSE / CANNOT-VERIFY-PAIRING
EV-P12-REBASE,2026-07-21T16:30:00Z,CONTINUUM_SHORT_BAR_DIAGNOSTIC_P1.2,13WHX1LxtG2ViJAAwAQWzjWpyX40HJpu5bw4175oD_XA,GP-ERR-027-v1.0,CORRECTION_RECORD,FALSE,FALSE,EV-P12-GP-AUDIT; GP-RSP-013,None,None,Scope rebase and sample-size planning trigger,REV-P12-GP-001,ADDITIVE SCOPE CORRECTION,https://docs.google.com/document/d/13WHX1LxtG2ViJAAwAQWzjWpyX40HJpu5bw4175oD_XA/edit,PASS
EV-P12-EP2-NOTICE,2026-07-21T16:30:00Z,CONTINUUM_SHORT_BAR_DIAGNOSTIC_P1.2,1M2s2QoSMpTpKt9hH1W1J_WwENHMNTUllFoFEF8Ti8Dg,CL-RSP-027-v1.0,DELIVERY_NOTICE,FALSE,TRUE,CL-ERR-025-v1.0,Claimed CL-DATA-024 v1.1 ID 1WqP5VNumh0u-44lbh0mF8Qn82-gsMXjg,Claimed inline seeds,"Coordination notice, not executable evidence",REV-P12-GP-001,SUMMARY / SOURCE-AVAILABILITY CLAIM,https://docs.google.com/document/d/1M2s2QoSMpTpKt9hH1W1J_WwENHMNTUllFoFEF8Ti8Dg/edit,SYNC-UNCERTAIN — RAW SCRIPT NOT FOUND IN CURRENT SEARCH
EV-P12-PROTOCOL,2026-07-21T16:30:00Z,CONTINUUM_SHORT_BAR_DIAGNOSTIC_P1.2,1VBdGtSvXEEz3F7fvs9NEd_LIzOKyzjgnpvJvGO-ILPU,P1.2-READ-FIRST,GOVERNING_PROTOCOL,TRUE,FALSE,Accepted withdrawals and audits,None,Field-level protocol,Continuum diagnostic and falsification specification,REV-P12-GP-001,PROTOCOL / STATUS BOUNDARY,https://docs.google.com/document/d/1VBdGtSvXEEz3F7fvs9NEd_LIzOKyzjgnpvJvGO-ILPU/edit,PASS
EV-QM11-SNAPSHOT,2026-07-21T18:05:00Z,LAW_SPECIFIC_Q_SUCCESSOR_MACHINE_V1_1,18t4-bStuTlOSZWWPU59DTjCNty3KUG93oBSi6DqBckk,GP-REG-051-v1.0,PRIMARY_ARCHITECTURE_PROPOSAL,TRUE,FALSE,GP-REG-021-v1.0; AO48-AUD-008-v1.0; TR-QM-001,SHA256:082e85add126621e348f4c5cf0f417220e2d292979ef1c9aea50356f96db785a,q0-law-specific/1.1 JSON graph,Law-specific dependency-graph repair,REV-QM11-GP-001,NONCANONICAL REPAIR SNAPSHOT,https://docs.google.com/document/d/18t4-bStuTlOSZWWPU59DTjCNty3KUG93oBSi6DqBckk/edit,PASS-LOCAL / NOT INSTALLABLE
EV-QM11-VERIFIER,2026-07-21T18:05:00Z,LAW_SPECIFIC_Q_SUCCESSOR_MACHINE_V1_1,1K97B5wutWJcXCc2b1_15CfXPi-8XEQZKHtvQAmckbZY,GP-DATA-052-v1.0,INSTRUMENT_SOURCE,TRUE,FALSE,EV-QM11-SNAPSHOT,SHA256:1bbfce143b8eee6c0cc4ad4a24c7b2b97a5f5a584fa191df63069a855b34a6a1,Sixteen adversarial mutations,Fail-closed machine-schema verifier,REV-QM11-GP-001,EXECUTABLE VERIFIER SOURCE,https://docs.google.com/document/d/1K97B5wutWJcXCc2b1_15CfXPi-8XEQZKHtvQAmckbZY/edit,PASS-LOCAL
EV-QM11-RECEIPT,2026-07-21T18:05:00Z,LAW_SPECIFIC_Q_SUCCESSOR_MACHINE_V1_1,1K97B5wutWJcXCc2b1_15CfXPi-8XEQZKHtvQAmckbZY,GP-DATA-052-v1.0-RECEIPT,EXECUTABLE_RECEIPT,TRUE,FALSE,EV-QM11-SNAPSHOT; EV-QM11-VERIFIER,SHA256:076d4dfcd13bb79d924a413159fad82c3c08512ef2fc147377e154d0ec42b1d4,16/16 negative tests; root blocker report,Local Python validation execution,REV-QM11-GP-001,ADVERSARIAL EXECUTION RECEIPT,https://docs.google.com/document/d/1K97B5wutWJcXCc2b1_15CfXPi-8XEQZKHtvQAmckbZY/edit,PASS-16/16 / INDEPENDENT PENDING
EV-QM11-AUDIT,2026-07-21T18:05:00Z,LAW_SPECIFIC_Q_SUCCESSOR_MACHINE_V1_1,1CGdDo0UJcTFm5mk2FSb4E5ZCBZwIdzUS,AO48-AUD-008-v1.0,INDEPENDENT_REVIEW,TRUE,FALSE,GP-REG-021-v1.0; GP-DATA-022-v1.0,,Hand-traced dependency graph and verifier mutations,Cross-organization dependency/verifier defect audit,REV-QM-AO48-001,INDEPENDENT DEFECT AUDIT,https://drive.google.com/file/d/1CGdDo0UJcTFm5mk2FSb4E5ZCBZwIdzUS/view,PASS-DEFECT-BASIS
EV-P12-EP2-SOURCE,2026-07-21T18:05:00Z,EXACT_PAIRING_PIPELINE_CL_DATA_024,1WqP5VNumh0u-44lbh0mF8Qn82-gsMXjg,CL-DATA-024-v1.1,INSTRUMENT_SOURCE,TRUE,FALSE,CL-ERR-025-v1.0,SHA256:6a30a39589f4097d66b3077bc08cdb228e8904f4e09d4efeb3bbaf1ba80fa18b,Seeds 20260720+8000+k; six-field script,Exact trigonometric critical census plus truncated auxiliary-flow walker,REV-P12-GP-002,EXPLORATORY NUMERICAL SOURCE,https://drive.google.com/file/d/1WqP5VNumh0u-44lbh0mF8Qn82-gsMXjg/view,SOURCE-VERIFIED / OBJECT-IDENTITY-FAIL
EV-P12-EP2-AUDIT,2026-07-21T18:05:00Z,EXACT_PAIRING_PIPELINE_CL_DATA_024,1UR2DF3uNAJ70RDpEICt9lh9PyQAw25cQXLS4iLziWLA,GP-AUD-050-v1.0,INDEPENDENT_REVIEW,TRUE,FALSE,EV-P12-EP2-SOURCE,SHA256:6a30a39589f4097d66b3077bc08cdb228e8904f4e09d4efeb3bbaf1ba80fa18b,120s and 300s bounded execution attempts,Static source/object-identity audit plus bounded execution,REV-P12-GP-002,SOURCE AND OBJECT-IDENTITY AUDIT,https://docs.google.com/document/d/1UR2DF3uNAJ70RDpEICt9lh9PyQAw25cQXLS4iLziWLA/edit,FAIL-EXACT-PAIRING CLAIM
EV-P12-EP2-RUN,2026-07-21T18:05:00Z,EXACT_PAIRING_PIPELINE_CL_DATA_024,1UR2DF3uNAJ70RDpEICt9lh9PyQAw25cQXLS4iLziWLA,GP-AUD-050-v1.0-RUN,EXECUTABLE_RECEIPT,TRUE,FALSE,EV-P12-EP2-SOURCE,SHA256:6a30a39589f4097d66b3077bc08cdb228e8904f4e09d4efeb3bbaf1ba80fa18b,python ep2.py 0 1; 120s and 300s bounds,Bounded exact-source execution,REV-P12-GP-002,BOUNDED EXECUTION RECEIPT,https://docs.google.com/document/d/1UR2DF3uNAJ70RDpEICt9lh9PyQAw25cQXLS4iLziWLA/edit,TIMEOUT-NO-FIELD-RECEIPT / NO NUMERICAL CONCLUSION
EV-P12-HARDENED-PRE,2026-07-21T18:20:00Z,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054,1iB_N4TsFTzCSsWAZIvt23dyQ5nTf9dzw3qcomvzmCTU,GP-PRE-053-v1.0,PREREGISTRATION,TRUE,FALSE,TR-P12-002; GP-AUD-050-v1.0,,"Frozen V1–V5 gates, interpretation boundary, receipts, and falsifiers",Exact-field numerical-instrument repair specification,REV-P12-GP-003,FROZEN REPAIR PREREGISTRATION,https://docs.google.com/document/d/1iB_N4TsFTzCSsWAZIvt23dyQ5nTf9dzw3qcomvzmCTU/edit,PASS-SPECIFICATION / INDEPENDENT REVIEW PENDING
EV-P12-HARDENED-SOURCE,2026-07-21T18:20:00Z,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054,1n5rmtvI8Xn5GIX1TUGI4KLOcYg4cC91lI6gjPQOSjdE,GP-DATA-054-v1.0,INSTRUMENT_SOURCE,TRUE,FALSE,EV-P12-HARDENED-PRE,SHA256:7f061dd71032c76e785e259a115d3dad50e6adf5274dc8b3cf7104b9c2bd4c22,"30,606-byte frozen Python source; Drive-native review mirror; one exact field class","Adaptive exact-field pairing, fail-closed gates, checkpoint receipts, and clustered inference",REV-P12-GP-003,NONCANONICAL SOURCE — DRIVE MIRROR NOT BYTE AUTHORITY,https://docs.google.com/document/d/1n5rmtvI8Xn5GIX1TUGI4KLOcYg4cC91lI6gjPQOSjdE/edit,SOURCE-MIRROR-PUBLISHED / EXACT HASH EXTERNAL
EV-P12-HARDENED-SELFTEST,2026-07-21T18:20:00Z,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054,1cCI1xdvZ7sm3KwuMHmyoZmaZEbdPxohSkefuG1fXx20,GP-AUD-055-v1.0,EXECUTABLE_RECEIPT,TRUE,FALSE,EV-P12-HARDENED-SOURCE,SHA256:ab4b128c90a3e4f72cf3d172826f40e66a5ac85e8e1523e7caa3edc0c301a1ba,13/13 controls including analytic Morse and adaptive exact-field endpoint tests,Author-side syntax and adversarial self-test execution,REV-P12-GP-003,SELF-TEST RECEIPT — NO PRODUCTION RESULT,https://docs.google.com/document/d/1cCI1xdvZ7sm3KwuMHmyoZmaZEbdPxohSkefuG1fXx20/edit,PASS-13/13 / INDEPENDENT PRODUCTION PENDING
EV-P12-GP-AUDIT-056,2026-07-21T18:35:00Z,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054,14isBxF_3xAQm2e9XzXLxZ872aQo7XmVvmjVn2exln6U,GP-AUD-056-v1.0,QUALIFICATION_BLOCKER_AUDIT,TRUE,FALSE,GP-PRE-053; GP-DATA-054; GP-AUD-055; TR-P12-003,NC-F1; NC-F2; NC-F3a-c; offset replay; degenerate-Hessian fixture,Static source inspection; no execution receipt,Control-flow and fail-closed numerical qualification audit,REV-P12-GP-004,SAME-LINE STATIC AUDIT — MATERIAL DEFECT FINDING,https://docs.google.com/document/d/14isBxF_3xAQm2e9XzXLxZ872aQo7XmVvmjVn2exln6U/edit,PASS-DEFECT-FINDING / NOT-INDEPENDENT-QUALIFICATION
EV-P12-HARDENED-CAPSULE,2026-07-21T18:40:00Z,GP_DATA_054_BYTE_EXACT_SOURCE_PUBLICATION,1kO16dnJd0MYonMGYUUSnbmH8xD1mKilMPfWpEGz2fZA,GP-DATA-054-v1.0-CAPSULE,BYTE_EXACT_SOURCE_PUBLICATION,TRUE,FALSE,EV-P12-HARDENED-SOURCE,SHA256:7f061dd71032c76e785e259a115d3dad50e6adf5274dc8b3cf7104b9c2bd4c22,"RFC4648 payload: 40,808 characters -> 30,606 bytes",Drive-native reversible byte-preserving publication,REV-P12-GP-005,SOURCE CAPSULE,https://docs.google.com/document/d/1kO16dnJd0MYonMGYUUSnbmH8xD1mKilMPfWpEGz2fZA/edit,PASS-EXACT-RECONSTRUCTION
EV-P12-HARDENED-CAPSULE-VERIFY,2026-07-21T18:40:00Z,GP_DATA_054_BYTE_EXACT_SOURCE_PUBLICATION,1qLCAgBMPFfNDV1XrM22dlwLxljcENeHM5lOkeF_m3rQ,GP-AUD-057-v1.0,EXECUTABLE_RECEIPT,TRUE,FALSE,EV-P12-HARDENED-CAPSULE,SHA256:7f061dd71032c76e785e259a115d3dad50e6adf5274dc8b3cf7104b9c2bd4c22,Fresh Drive export; strict decode; failed-first-attempt diagnosis; direct byte comparison,Adversarial same-line source reconstruction,REV-P12-GP-005,BYTE-IDENTITY RECEIPT,https://docs.google.com/document/d/1qLCAgBMPFfNDV1XrM22dlwLxljcENeHM5lOkeF_m3rQ/edit,PASS-SAME-LINE / OUTSIDE PENDING
EV-P12-HARDENED-REVIEW-REQUEST,2026-07-21T18:40:00Z,GP_DATA_054_BYTE_EXACT_SOURCE_PUBLICATION,1ifVh9XpGEhWWklxp6I-T2fRgAcmLrs8PeZU-Y3cwJfw,GP-REQ-056-v1.0,INDEPENDENT_REVIEW_REQUEST,FALSE,FALSE,GP-PRE-053; EV-P12-HARDENED-SOURCE; EV-P12-HARDENED-CAPSULE; GP-AUD-055; GP-AUD-057; GP-AUD-056,,"Blind source audit, independent decode/self-test, amended production qualification, and inference audit",Outside-lineage qualification protocol,,OPEN REVIEW REQUEST,https://docs.google.com/document/d/1ifVh9XpGEhWWklxp6I-T2fRgAcmLrs8PeZU-Y3cwJfw/edit,OPEN
EV-P12-GP-AUDIT-059,2026-07-21T19:00:00Z,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054_CURRENT_7F_SOURCE,1xQmawVY4d-lFSKaTxI5IR_J2zYRFm8VR77OVUwzAUQQ,GP-AUD-059-v1.0,CORRECTION_AND_STALE_EXPORT_INCIDENT,TRUE,FALSE,GP-AUD-057; prior dbff reconstruction; fresh current capsule,dbff stale object and current 7f object,Fresh strict reconstruction and source-hash comparison,Revision-qualified source correction,REV-P12-GP-006,ADDITIVE SOURCE-STATE CORRECTION,https://docs.google.com/document/d/1xQmawVY4d-lFSKaTxI5IR_J2zYRFm8VR77OVUwzAUQQ/edit,PASS-CURRENT-SOURCE / HISTORICAL-INCIDENT-PRESERVED
EV-P12-GP-DATA-060,2026-07-21T19:00:00Z,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054_CURRENT_7F_SOURCE,1rsrD5G-c_wESgxV-RB5JibpJM_FK1YrK3SepfQtO4jc,GP-DATA-060-v1.0,CURRENT_SOURCE_ADVERSARIAL_EXECUTABLE_RECEIPT,TRUE,FALSE,GP-AUD-056; GP-AUD-057; exact current 7f source,SHA256:7f061dd71032c76e785e259a115d3dad50e6adf5274dc8b3cf7104b9c2bd4c22,ST1–ST13; NC-F1; NC-F2; NC-F5,Current-source self-test and adversarial fault injection,REV-P12-GP-006,SAME-LINE CURRENT-SOURCE DEFECT RECEIPT,https://docs.google.com/document/d/1rsrD5G-c_wESgxV-RB5JibpJM_FK1YrK3SepfQtO4jc/edit,PASS-13-OF-13 / CONFIRM-3-OF-3-DEFECTS
EV-EC014-GP-RECON,2026-07-21T19:20:00Z,CORRECTED_SIX_PIN_PAIR_FRAME_EC014,1LFs1OlJwHvPTjby9Vjfua3X9L3iQNey_gRu0crd0og8,GP-DER-061-v1.0,EXACT_RECONSTRUCTION_CANDIDATE,TRUE,FALSE,File 4 equations 3.1–3.4; C102 summary; GP-REQ-057,Exact 6x6 matrix and SymPy mutation M1,Hand block determinant; symbolic determinant and mutation,Exact finite-dimensional linear algebra,REV-EC014-GP-001,SAME-LINE PRIMARY RECONSTRUCTION,https://docs.google.com/document/d/1LFs1OlJwHvPTjby9Vjfua3X9L3iQNey_gRu0crd0og8/edit,PASS-MATH / INDEPENDENT-REVIEW-OPEN
EV-P02-INTERVAL-068,2026-07-21T19:55:00Z,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,16AxHk1QHUwrWbjsv1C0NuWnd6a4FfHVIvRIZyHQQ9HU,GP-AUD-068-v1.0,EXECUTABLE_RECEIPT,TRUE,FALSE,CL-AUD-044 frozen source and sample plan; GP-DER-047 deterministic inequalities,SHA256:f919225ac2cd517ea95ece0b873f3d28c8f6d38ea3ceb468572fdc3972e47495,"864 exact-rational configurations; negative controls triggered 576, 18, and 549 cases",Same-line exact-rational deterministic certificate,REV-P02-GP-INTERVAL-001,SAME-LINE EXACT-RATIONAL CERTIFICATE,https://docs.google.com/document/d/16AxHk1QHUwrWbjsv1C0NuWnd6a4FfHVIvRIZyHQQ9HU/edit,PASS-864/864 / NON-GP-RERUN-PENDING
EV-P02-BRANCH-065,2026-07-21T19:55:00Z,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,1C5CUvDYScSGk35yG-KThF5vLHQtt2itMC8Ks1oN155w,GP-PROT-065-v1.0,OBJECT_DEFINITION_PROTOCOL,TRUE,FALSE,P0.2 object card; CL branch-convention request; exact six-pin M/S geometry,,Coordinate-free sign rule and exact event-definition fixture,Coordinate-free branch orientation and event definition,,FROZEN OBJECT DEFINITION / NON-GP REVIEW OPEN,https://docs.google.com/document/d/1C5CUvDYScSGk35yG-KThF5vLHQtt2itMC8Ks1oN155w/edit,PASS-GP-DEFINITION / OUTSIDE-REVIEW-PENDING
